,Revenue,Gross Margin,Operating Margin,Gross Profit,Operating Profit,Net Income,EPS,PE Ratio,Discounted Cash Flow
73,1713.57,0.21,0.1,415.02,149.48,31.6,0.27,30.29,72.07606297043557
74,1648.61,0.22,0.09,414.62,106.03,24.18,0.21,30.07,53.14134184781995
75,1641.46,0.24,0.11,397.82,169.04,34.08,0.29,30.28,71.75879173158035
76,1624.81,0.22,0.06,397.99,58.08,17.37,0.15,30.25,31.096856002532054
77,1560.6,0.19,0.14,263.53,205.28,41.06,0.35,30.2,88.1127778944363
78,1707.27,0.2,0.08,373.4,103.75,23.48,0.2,29.85,43.7240694490213
79,1617.02,0.22,0.14,375.99,210.49,42.1,0.36,29.78,89.135678742116
80,1788.32,0.25,0.11,424.31,268.32,55.48,0.48,29.7,123.9651952256221
81,1659.31,0.21,0.15,368.09,231.74,46.76,0.4,29.79,81.9023644601755
82,1628.36,0.23,0.1,373.31,120.89,24.18,0.21,30.13,49.836691218686035
83,1538.26,0.14,0.1,289.01,138.92,28.19,0.24,29.44,56.09488053330002
84,1550.15,0.26,0.07,392.76,80.47,19.32,0.17,30.15,35.568774352390676
85,1626.24,0.2,0.11,363.59,95.37,26.48,0.23,30.07,63.086120646894464
86,1635.57,0.2,0.12,334.39,218.19,45.3,0.39,29.83,92.56306744062297
87,1581.32,0.19,0.09,277.47,174.94,35.47,0.31,30.21,71.42886466683923
88,1697.31,0.16,0.06,354.26,61.48,24.3,0.21,30.0,44.55666409123739
89,1636.54,0.19,0.14,361.93,220.01,44.0,0.38,30.37,89.93546190635354
90,1640.75,0.2,0.06,363.49,77.88,22.55,0.19,29.97,39.5830449178286
91,1629.26,0.22,0.14,381.77,294.59,59.35,0.51,30.09,122.25187135163681
92,1686.42,0.17,0.07,252.47,32.24,17.54,0.15,30.16,35.49712597886407
93,1649.31,0.18,0.06,315.32,75.84,19.37,0.17,30.1,36.58286038802431
94,1659.74,0.2,0.16,361.16,265.47,53.09,0.46,29.95,103.40680440001387
95,1548.47,0.2,0.13,355.55,221.96,44.82,0.39,30.33,88.26262109851776
96,1481.51,0.24,0.1,353.89,193.16,40.48,0.35,30.22,77.93606152721988
97,1587.19,0.18,0.07,238.58,117.38,23.89,0.21,29.74,49.51065608246651
98,1632.13,0.17,0.04,284.78,54.0,14.29,0.12,29.6,29.81336104225532
99,1570.0,0.23,0.07,346.84,103.81,25.81,0.22,29.82,50.91009790927136
100,1649.71,0.19,0.14,324.8,258.28,53.52,0.46,29.61,101.48065681463598
101,1658.04,0.14,0.12,274.72,245.9,49.5,0.43,30.2,109.17967054547255
102,1628.72,0.2,0.1,341.63,163.58,32.78,0.28,30.32,72.65735943379593
103,1690.08,0.17,0.09,251.2,176.35,36.19,0.31,30.42,71.24083887798983
104,1531.46,0.18,0.11,240.72,179.8,35.96,0.31,30.25,74.47676634610625
105,1567.4,0.25,0.09,363.82,129.57,26.15,0.23,29.99,56.89153436899491
106,1579.33,0.26,0.07,394.48,88.53,26.86,0.23,30.67,47.76680911431147
